RoomID,MapID,MapID2,Elevation,Note,Cond,ObjStep,GridID,GridType,GroundID
83,0,,146.69,,0,1,0,0,150
83,1,,145.62,,0,1,0,0,150
83,2,,142.2,,0,1,0,0,140
83,3,,140.15,,0,1,0,0,140
83,4,,141.9,,0,1,0,0,140
83,5,,139.15,,0,1,0,0,140
83,6,,142.27,,0,1,0,0,140
83,7,,140.67,,0,1,0,0,140
83,8,,144.28,,0,1,0,0,140
83,9,,143.64,,0,1,0,0,140
83,10,,141.65,,0,1,26,2,140
83,11,,141.89,,0,1,26,2,140
83,12,,137.52,,0,1,0,0,140
83,13,,136.27,,0,1,0,0,140
83,14,,134.41,,0,1,0,0,130
83,15,,132.78,,0,1,34,2,130
83,16,,135.35,,0,1,0,0,140
83,17,,132.45,,0,1,31,2,130
83,18,,139.14,,0,1,34,2,140
83,19,,134.28,,0,1,0,0,130
83,20,,138.11,,0,1,31,2,140
83,21,,134.86,,0,1,0,0,140
83,22,,138.69,,0,1,0,0,140
83,23,,135.66,,0,1,0,0,140
83,24,,138.69,,0,1,0,0,140
83,25,,135.33,,0,1,0,0,140
83,26,,137.26,,0,1,0,0,140
83,27,,132.88,,0,1,0,0,130
83,28,,134.24,,0,1,0,0,130
83,29,,129.69,,0,1,0,0,130
83,30,,129.37,,0,1,0,0,130
83,31,,128.08,,0,1,0,0,130
83,32,,130.22,,0,1,0,0,130
83,33,,126.29,,0,1,0,0,130
83,34,,128.93,,0,1,67,2,130
83,35,,129.65,,7,1,66,2,130
83,36,,128,,0,3,51,3,130
83,37,,127.68,,0,1,0,0,130
83,38,,127.3,,0,3,51,3,130
83,39,,123.95,,0,1,0,0,120
83,40,,123.53,,0,1,0,0,120
83,41,,121.91,,0,1,0,0,120
83,42,,121.5,,0,1,0,0,120
83,43,,121.15,,0,1,0,0,120
83,44,,124.73,,0,1,0,0,130
83,45,,122.87,,0,1,0,0,120
83,46,,125.96,,0,1,0,0,130
83,47,,120.72,,0,1,0,0,120
83,48,,125.35,,0,1,0,0,130
83,49,,119.59,,0,1,0,0,120
83,50,,122.74,,0,1,0,0,120
83,51,,119.07,,0,1,0,0,120
83,52,,118.35,,0,1,0,0,120
83,53,,119,,0,1,27,2,120
83,54,,118.33,,0,1,27,2,120
83,55,,118.42,,0,1,0,0,120
83,56,,117.43,,0,1,0,0,120
83,57,,117,,0,1,0,0,120
83,58,,117.35,,0,1,0,0,120
83,59,,116.22,,0,1,0,0,120
83,60,,117.9,,0,1,0,0,120
83,61,,116.51,,0,1,0,0,120
83,62,,116.41,,0,1,0,0,120
83,63,,112.06,,0,1,0,0,110
83,64,,113.15,,0,1,0,0,110
83,65,,112,,0,1,0,0,110
83,66,,112.78,,0,1,0,0,110
83,67,,111.93,,0,1,0,0,110
83,68,,112.29,,0,1,0,0,110
83,69,,111.72,,0,1,0,0,110
83,70,,112.96,,0,1,0,0,110
83,71,,112.57,,0,1,0,0,110
83,72,,112.96,,0,1,0,0,110
83,73,,112.71,,0,1,0,0,110
83,74,,112.96,,0,1,0,0,110
83,75,,112.96,,0,1,0,0,110
83,76,,113.09,,0,1,0,0,110
83,77,,111.15,,0,1,0,0,110
83,78,,112.37,,0,1,0,0,110
83,79,,113.35,,0,1,0,0,110
83,80,,112.93,,0,1,0,0,110
83,81,,113.97,,0,1,0,0,110
83,82,,112.47,,0,1,0,0,110
83,83,,113.77,,0,1,0,0,110
83,84,,110.49,,0,1,0,0,110
83,85,,111.42,,0,1,0,0,110
83,86,,109.95,,0,1,0,0,110
83,87,,111.33,,0,1,0,0,110
83,88,,108.41,,0,1,0,0,110
83,89,,109.12,,0,1,0,0,110
83,90,,109.19,,0,1,0,0,110
83,91,,106.99,,0,1,67,2,110
83,92,,106,,0,1,66,2,110
